,Geography,cases,deaths,Estimated % of Households Below poverty level,Total Households,Household has three or more generations
1409,28031.0,5718,100.0,27.4,7430,449
1410,28033.0,7418,131.0,8.9,57748,3071
1411,28035.0,8512,123.0,25.6,28746,1433
1412,28037.0,8024,117.0,22.0,3211,192
1413,28039.0,56972,566.0,18.0,7982,439
1414,28041.0,25667,317.0,18.9,4306,211
1415,28043.0,2192,39.0,23.6,8779,526
1416,28045.0,8259,89.0,12.6,17380,800
1417,28047.0,3649,60.0,17.1,71476,3686
1418,28049.0,6082,134.0,18.7,91351,6204
1419,28051.0,14227,156.0,40.0,6926,642
1420,28053.0,62096,687.0,31.6,3373,367
1421,28055.0,62604,820.0,26.4,472,31
1422,28057.0,4941,104.0,13.7,8881,394
1423,28059.0,2229,47.0,15.2,52205,3025
1424,28061.0,289,9.0,21.5,6798,427
1425,28063.0,8542,145.0,27.2,2929,256
1426,28065.0,43307,484.0,25.6,4977,345
1427,28067.0,5734,76.0,19.7,25247,1411
1428,28069.0,1724,38.0,26.0,3920,215
1429,28071.0,3342,56.0,19.5,18356,490
1430,28073.0,24551,304.0,17.0,21542,742
1431,28075.0,2449,51.0,22.6,31090,1547
1432,28077.0,17548,183.0,19.2,5078,278
1433,28079.0,20452,165.0,22.2,8272,499
1434,28081.0,20794,375.0,14.5,32086,1551
1435,28083.0,4176,57.0,33.2,11577,946
1436,28085.0,7213,123.0,24.1,13296,659
1437,28087.0,31211,313.0,20.0,23487,1185
1438,28089.0,8280,177.0,9.9,35829,1648
1439,28091.0,9763,162.0,26.7,10135,629
1440,28093.0,19861,246.0,19.4,13369,1047
1441,28095.0,28992,342.0,17.7,14485,787
1442,28097.0,8081,140.0,26.3,4438,248
1443,28099.0,11099,178.0,21.9,10856,715
1444,28101.0,12497,224.0,18.9,8214,421
1445,28103.0,3410,80.0,29.8,4305,323
1446,28105.0,11973,243.0,30.5,18820,554
1447,28107.0,6692,100.0,21.3,12839,1017
1448,28109.0,3227,48.0,16.1,20816,1172
1449,28111.0,12759,168.0,17.4,4674,294
1450,28113.0,11766,173.0,31.0,15370,959
1451,28115.0,17051,280.0,14.4,11172,526
1452,28117.0,3508,64.0,25.0,9812,456
1453,28119.0,11728,190.0,36.8,3058,258
1454,28121.0,11777,154.0,8.7,52836,2290
1455,28123.0,9363,106.0,23.5,10248,704
1456,28125.0,1741,32.0,25.0,1834,185
1457,28127.0,43175,509.0,17.3,10330,638
1458,28129.0,7422,121.0,17.3,6221,366
1459,28131.0,1088,27.0,16.6,6165,367
1460,28133.0,8106,156.0,29.5,8822,990
1461,28135.0,4673,69.0,27.3,4856,463
1462,28137.0,6334,77.0,16.1,10035,697
1463,28139.0,6390,126.0,23.3,8597,429
1464,28141.0,3611,63.0,22.4,8148,265
1465,28143.0,8281,149.0,26.5,3927,391
1466,28145.0,8321,110.0,11.4,10317,458
1467,28147.0,7065,122.0,26.9,5888,363
1468,28149.0,2845,48.0,20.2,18941,1144
1469,28151.0,10768,126.0,28.4,18936,1718
1470,28153.0,4264,82.0,21.9,8104,410
1471,28155.0,11924,213.0,17.8,4060,167
1472,28157.0,11542,207.0,21.9,3455,257
1473,28159.0,6628,88.0,18.5,7494,468
1474,28161.0,3762,73.0,20.0,5166,319
1475,28163.0,1895,46.0,27.7,8860,719
1476,29001.0,6077,104.0,21.5,9877,160
1477,29003.0,4587,61.0,10.7,6700,209
1478,29005.0,9169,112.0,11.1,2498,41
1479,29007.0,6192,68.0,12.9,9590,286
1480,29009.0,5273,60.0,15.6,14057,499
1481,29011.0,1608,23.0,19.0,4929,128
1482,29013.0,6321,116.0,16.3,6744,213
1483,29015.0,7374,147.0,17.7,8449,214
1484,29017.0,3143,54.0,17.3,4847,121
1485,29019.0,4066,99.0,15.6,64077,1390
1486,29021.0,4971,110.0,15.7,34509,1273
1487,29023.0,2917,44.0,21.8,17614,663
1488,29025.0,51226,271.0,12.5,3676,101
1489,29027.0,27543,329.0,10.2,16333,536
1490,29029.0,11371,177.0,15.0,19068,398
1491,29031.0,1921,40.0,16.4,29848,757
1492,29033.0,13397,138.0,11.1,3865,86
1493,29035.0,10264,190.0,15.7,2559,83
1494,29037.0,21567,254.0,7.1,37150,1259
1495,29039.0,2445,46.0,15.3,5838,158
1496,29041.0,1631,24.0,13.3,3242,55
1497,29043.0,28163,328.0,9.0,29077,866
1498,29045.0,3413,60.0,12.1,2933,47
1499,29047.0,1889,38.0,7.5,87217,2754
1500,29049.0,23248,275.0,11.5,7951,259
1501,29051.0,1781,41.0,10.2,29722,679
1502,29053.0,30760,383.0,13.3,6554,170
1503,29055.0,5360,124.0,17.9,9831,355
1504,29057.0,22232,293.0,15.5,3271,72
1505,29059.0,4467,80.0,17.1,6524,224
1506,29061.0,6007,109.0,13.3,3214,82
1507,29063.0,1640,43.0,10.1,3839,105
1508,29065.0,4306,77.0,18.3,6338,166
1509,29067.0,1910,30.0,16.8,5587,169
1510,29069.0,2414,47.0,23.4,12837,455
1511,29071.0,3688,89.0,8.8,39170,1349
1512,29073.0,2884,83.0,11.4,6250,151
1513,29075.0,9032,133.0,16.8,2674,59
1514,29077.0,28910,388.0,16.9,114244,2745
